# TOORAD li	mits for material 2, eta = 1, Gamma = 1e-4 meV
# Columns:	DA mass [eV] | DA-photon coupling [GeV^-1]
0.00251069	1.00E+00
0.00251069	2.36E-11
0.00255256	2.24E-11
0.00259555	2.13E-11
0.0026396	2.03E-11
0.00268468	1.94E-11
0.00273071	1.86E-11
0.00277766	1.78E-11
0.00282549	1.71E-11
0.00287414	1.64E-11
0.00292357	1.58E-11
0.00297376	1.52E-11
0.00302465	1.47E-11
0.00307622	1.42E-11
0.00312843	1.38E-11
0.00318125	1.33E-11
0.00323464	1.29E-11
0.00328859	1.25E-11
0.00334307	1.22E-11
0.00339804	1.18E-11
0.00345349	1.15E-11
0.00350939	1.12E-11
0.00356573	1.09E-11
0.00362247	1.06E-11
0.00367961	1.04E-11
0.00373712	1.01E-11
0.00379499	9.92E-12
0.00385321	9.71E-12
0.00391174	9.50E-12
0.00397059	9.31E-12
0.00402974	9.13E-12
0.00408918	8.95E-12
0.00414888	8.79E-12
0.00420885	8.63E-12
0.00426907	8.48E-12
0.00432953	8.34E-12
0.00439021	8.21E-12
0.00445112	8.08E-12
0.00451224	7.96E-12
0.00457356	7.85E-12
0.00463508	7.74E-12
0.00469679	7.63E-12
0.00475867	7.54E-12
0.00482073	7.44E-12
0.00488296	7.35E-12
0.00494534	7.27E-12
0.00500788	7.19E-12
0.00507057	7.12E-12
0.0051334	7.05E-12
0.00519637	6.98E-12
0.00525948	6.91E-12
0.00532271	6.85E-12
0.00538606	6.80E-12
0.00544954	6.74E-12
0.00551313	6.69E-12
0.00557683	6.64E-12
0.00564063	6.60E-12
0.00570455	6.56E-12
0.00576856	6.52E-12
0.00583267	6.48E-12
0.00589687	6.44E-12
0.00596117	6.41E-12
0.00602555	6.38E-12
0.00609002	6.35E-12
0.00615457	6.33E-12
0.0062192	6.30E-12
0.00628391	6.28E-12
0.0063487	6.26E-12
0.00641355	6.24E-12
0.00647848	6.22E-12
0.00654348	6.21E-12
0.00660854	6.20E-12
0.00667367	6.18E-12
0.00673886	6.17E-12
0.00680411	6.17E-12
0.00686942	6.16E-12
0.00693479	6.15E-12
0.00700021	6.15E-12
0.00706569	6.15E-12
0.00713122	6.14E-12
0.0071968	6.14E-12
0.00726244	6.14E-12
0.00732812	6.15E-12
0.00739385	6.15E-12
0.00745962	6.15E-12
0.00752544	6.16E-12
0.00759131	6.16E-12
0.00765721	6.17E-12
0.00772316	6.18E-12
0.00778915	6.19E-12
0.00785518	6.20E-12
0.00792124	6.21E-12
0.00798735	6.22E-12
0.00805349	6.24E-12
0.00811966	6.25E-12
0.00818588	6.27E-12
0.00825212	6.28E-12
0.0083184	6.30E-12
0.00838471	6.31E-12
0.00845105	6.33E-12
0.00851743	6.35E-12
0.00858383	6.37E-12
0.00865026	6.39E-12
0.00871673	6.41E-12
0.00878322	6.43E-12
0.00884973	6.46E-12
0.00891628	6.48E-12
0.00898285	6.50E-12
0.00904945	6.53E-12
0.00911607	6.55E-12
0.00918271	6.58E-12
0.00924939	6.60E-12
0.00931608	6.63E-12
0.0093828	6.66E-12
0.00944954	6.69E-12
0.0095163	6.71E-12
0.00958308	6.74E-12
0.00964989	6.77E-12
0.00971671	6.80E-12
0.00978356	6.83E-12
0.00985042	6.86E-12
0.00991731	6.90E-12
0.00998421	6.93E-12
0.0100511	6.96E-12
0.0101181	6.99E-12
0.010185	7.03E-12
0.010252	7.06E-12
0.010319	7.10E-12
0.010386	7.13E-12
0.0104531	7.17E-12
0.0105201	7.20E-12
0.0105872	7.24E-12
0.0106542	7.28E-12
0.0107213	7.31E-12
0.0107884	7.35E-12
0.0108556	7.39E-12
0.0109227	7.43E-12
0.0109898	7.47E-12
0.011057	7.51E-12
0.0111242	7.55E-12
0.0111914	7.59E-12
0.0112586	7.63E-12
0.0113258	7.67E-12
0.011393	7.71E-12
0.0114603	7.75E-12
0.0115275	7.79E-12
0.0115948	7.83E-12
0.0116621	7.88E-12
0.0117294	7.92E-12
0.0117967	7.96E-12
0.011864	8.00E-12
0.0119313	8.05E-12
0.0119987	8.09E-12
0.012066	8.14E-12
0.0121334	8.18E-12
0.0122007	8.23E-12
0.0122681	8.27E-12
0.0123355	8.32E-12
0.0124029	8.37E-12
0.0124703	8.41E-12
0.0125377	8.46E-12
0.0126052	8.51E-12
0.0126726	8.55E-12
0.01274	8.60E-12
0.0128075	8.65E-12
0.012875	8.70E-12
0.0129424	8.74E-12
0.0130099	8.79E-12
0.0130774	8.84E-12
0.0131449	8.89E-12
0.0132124	8.94E-12
0.0132799	8.99E-12
0.0133475	9.04E-12
0.013415	9.09E-12
0.0134825	9.14E-12
0.0135501	9.19E-12
0.0136176	9.24E-12
0.0136852	9.30E-12
0.0137528	9.35E-12
0.0138203	9.40E-12
0.0138879	9.45E-12
0.0139555	9.50E-12
0.0140231	9.56E-12
0.0140907	9.61E-12
0.0141583	9.66E-12
0.0142259	9.72E-12
0.0142936	9.77E-12
0.0143612	9.82E-12
0.0144288	9.88E-12
0.0144965	9.93E-12
0.0145641	9.99E-12
0.0146318	1.00E-11
0.0146994	1.01E-11
0.0147671	1.02E-11
0.0148348	1.02E-11
0.0149024	1.03E-11
0.0149701	1.03E-11
0.0150378	1.04E-11
0.0151055	1.04E-11
0.0151732	1.05E-11
0.0152409	1.05E-11
0.0152409	1.00E+00
