# BASE
# https://inspirehep.net/literature/1843024
# mass [eV]  g_ap [GeV^-1]
2.7907103296336433e-9  9.6079151852626e-12
2.790711363550576e-9  9.301445318556985e-12
2.7907123974675083e-9  9.101162353409589e-12
2.790713431384441e-9  8.899089607481819e-12
2.7907144653013733e-9  8.134987145828446e-12
2.7907154992183063e-9  7.497864094991473e-12
2.790716533135239e-9  7.591505486721294e-12
2.7907175670521718e-9  8.084518662920347e-12
2.790718600969104e-9  7.963503195699272e-12
2.790719634886037e-9  7.950581538344274e-12
2.7907206688029698e-9  8.07455031890847e-12
2.7907217027199023e-9  7.911903690781465e-12
2.790722736636835e-9  7.557648153878337e-12
2.7907237705537677e-9  7.483602781665068e-12
2.7907248044707e-9  7.931261187740362e-12
2.7907258383876328e-9  8.094661752522233e-12
2.7907268723045653e-9  7.359860860627584e-12
2.790727906221498e-9  7.394448788243312e-12
2.7907289401384308e-9  8.011643871669564e-12
2.790729974055363e-9  8.566339869552743e-12
2.790731007972296e-9  8.634611829641297e-12
2.7907320418892283e-9  8.336782178066528e-12
2.7907330758061613e-9  8.577923243371955e-12
2.7907341097230938e-9  8.637204920600331e-12
2.7907351436400263e-9  8.096896209782976e-12
2.7907361775569592e-9  7.613655207482207e-12
2.7907372114738913e-9  7.520676780888239e-12
2.7907382453908243e-9  7.451977977017312e-12
2.7907392793077572e-9  7.573957759365292e-12
2.7907403132246893e-9  7.490524714392793e-12
2.7907413471416223e-9  7.703931186914658e-12
2.7907423810585543e-9  7.821583264374567e-12
2.7907434149754873e-9  7.959626868555369e-12
2.7907444488924202e-9  8.085283042279758e-12
2.7907454828093523e-9  7.90975255679146e-12
2.7907465167262853e-9  7.47211350428796e-12
2.790747550643218e-9  7.715157186663022e-12
2.7907485845601507e-9  8.383253441209137e-12
2.7907496184770832e-9  8.653754461748221e-12
2.7907506523940158e-9  8.426424435739029e-12
2.7907516863109487e-9  8.48033992714181e-12
2.790752720227881e-9  8.76276168454053e-12
2.7907537541448137e-9  8.635477959724876e-12
2.7907547880617463e-9  8.320510772637112e-12
2.7907558219786788e-9  8.232074625089428e-12
2.7907568558956117e-9  8.097016914064581e-12
2.790757889812544e-9  8.266600261526325e-12
2.7907589237294768e-9  8.1775449576501e-12
2.7907599576464093e-9  8.423379380947253e-12
2.790760991563342e-9  9.452927644324265e-12
2.7907620254802747e-9  9.067901938572729e-12
2.7907630593972077e-9  8.471355416569749e-12
2.79076409331414e-9  8.793769739317653e-12
2.7907651272310727e-9  8.655105455408825e-12
2.7907661611480052e-9  8.927165114018941e-12
2.790767195064938e-9  8.932217686931192e-12
2.7907682289818707e-9  8.710676706925028e-12
2.7907692628988032e-9  8.22357706141416e-12
2.7907702968157357e-9  7.850507545556229e-12
2.7907713307326683e-9  7.738868041715498e-12
2.7907723646496008e-9  7.579861272153572e-12
2.7907733985665337e-9  7.640442265973076e-12
2.7907744324834662e-9  8.164114543868263e-12
2.7907754664003988e-9  8.986147279132484e-12
2.7907765003173313e-9  9.602194548757201e-12
2.7907775342342642e-9  9.838641041317855e-12
2.790778568151197e-9  9.541570314395211e-12
2.7907796020681297e-9  9.580338419430808e-12
2.790780635985062e-9  9.119434120433243e-12
2.790781669901995e-9  8.368480695987831e-12
2.7907827038189272e-9  7.969429044417403e-12
2.79078373773586e-9  7.935798054350564e-12
2.7907847716527927e-9  7.763944295148413e-12
2.790785805569725e-9  7.92127698071799e-12
2.790786839486658e-9  8.697699509406473e-12
2.7907878734035902e-9  9.547192302014138e-12
2.790788907320523e-9  9.205938359352363e-12
2.7907899412374557e-9  8.141444408911825e-12
2.7907909751543882e-9  7.542336386439988e-12
2.790792009071321e-9  7.956617251177474e-12
2.7907930429882537e-9  8.179382030951696e-12
2.7907940769051867e-9  8.827709289659022e-12
2.7907951108221187e-9  1.0046997685251378e-11
2.7907961447390517e-9  1.100006896372001e-11
2.7907971786559846e-9  1.0133292597057495e-11
2.7907982125729167e-9  9.199225453985956e-12
2.7907992464898497e-9  8.51412765598947e-12
2.7908002804067817e-9  8.549091611035959e-12
2.7908013143237147e-9  8.615448771993309e-12
2.7908023482406477e-9  9.066553399857452e-12
2.7908033821575797e-9  8.34932310003685e-12
2.7908044160745127e-9  8.102443139897239e-12
2.7908054499914448e-9  8.262629747814017e-12
2.7908064839083777e-9  8.18342895774518e-12
2.7908075178253107e-9  8.401418021679739e-12
2.790808551742243e-9  9.229145205478239e-12
2.790809585659176e-9  1.0990493884550644e-11
2.7908106195761087e-9  1.1810587938001438e-11
2.790811653493041e-9  9.56973721482653e-12
2.7908126874099737e-9  8.186527929156568e-12
2.790813721326906e-9  7.81039841573002e-12
2.790814755243839e-9  8.158737397705046e-12
2.7908157891607717e-9  8.627045894323075e-12
2.790816823077704e-9  9.106035993440034e-12
2.7908178569946367e-9  9.486729132880335e-12
2.790818890911569e-9  9.52451652372609e-12
2.790819924828502e-9  9.195547827895926e-12
2.7908209587454347e-9  9.279010265181834e-12
2.790821992662367e-9  8.76232069455824e-12
2.7908230265793e-9  8.808322623120693e-12
2.7908240604962327e-9  9.699156903665632e-12
2.7908250944131656e-9  9.510131396500053e-12
2.790826128330098e-9  9.303612607868534e-12
2.7908271622470306e-9  9.309552892030244e-12
2.790828196163963e-9  9.68387792931089e-12
2.7908292300808957e-9  9.630093784777162e-12
2.790830263997828e-9  8.697174362041175e-12
2.790831297914761e-9  8.813902159851293e-12
2.7908323318316937e-9  9.12856364721115e-12
2.790833365748626e-9  9.236112183271484e-12
2.7908343996655587e-9  9.058863097608705e-12
2.7908354335824916e-9  9.213187281732533e-12
2.790836467499424e-9  9.557824201605918e-12
2.7908375014163567e-9  9.440704072308109e-12
2.7908385353332896e-9  9.061476262300841e-12
2.7908395692502226e-9  8.440977535291941e-12
2.7908406031671547e-9  8.975913887646288e-12
2.7908416370840876e-9  8.990292067160288e-12
2.79084267100102e-9  8.843018158794784e-12
2.7908437049179526e-9  8.915979596074615e-12
2.7908447388348856e-9  8.714053209194362e-12
2.7908457727518177e-9  8.90272764181478e-12
2.7908468066687506e-9  1.0099053316194316e-11
2.790847840585683e-9  1.0515812273038073e-11
2.7908488745026157e-9  1.0356857143281355e-11
2.7908499084195486e-9  9.529100035833772e-12
2.790850942336481e-9  8.869742945128815e-12
2.7908519762534136e-9  8.447101232104653e-12
2.790853010170346e-9  8.432049020548356e-12
2.790854044087279e-9  8.565560197632803e-12
2.790855078004212e-9  8.116339309294024e-12
2.790856111921144e-9  8.292308253409887e-12
2.790857145838077e-9  8.84403585485475e-12
2.790858179755009e-9  1.0118026204382317e-11
2.790859213671942e-9  1.1142441707180788e-11
2.790860247588875e-9  1.1769608088021464e-11
2.790861281505807e-9  1.2167819024469115e-11
2.79086231542274e-9  1.1345617942646189e-11
2.790863349339672e-9  1.0777513166988958e-11
2.790864383256605e-9  1.0355764790861609e-11
2.790865417173538e-9  1.0853882400922528e-11
2.7908664510904706e-9  1.013612151440861e-11
2.790867485007403e-9  1.065566881416353e-11
2.790868518924336e-9  1.100955012394752e-11
2.7908695528412686e-9  1.04893325128877e-11
2.790870586758201e-9  1.0224645773687953e-11
2.7908716206751336e-9  1.0090368554414376e-11
2.7908726545920666e-9  9.512594916973242e-12
2.790873688508999e-9  8.51543856338702e-12
2.7908747224259316e-9  8.082011311658278e-12
2.790875756342864e-9  8.398241602647543e-12
2.7908767902597966e-9  8.81338260579934e-12
2.7908778241767296e-9  9.468754070091135e-12
2.790878858093662e-9  1.0510114173436469e-11
2.7908798920105946e-9  1.0733695120847844e-11
2.7908809259275276e-9  1.0908769225543046e-11
2.79088195984446e-9  1.2103942321584852e-11
2.7908829937613926e-9  1.2452785995766093e-11
2.7908840276783256e-9  1.255501584709882e-11
2.790885061595258e-9  1.1649526014760057e-11
2.7908860955121906e-9  1.2080973348930071e-11
2.790887129429123e-9  1.2763980731308615e-11
2.790888163346056e-9  1.1096018665671014e-11
2.7908891972629886e-9  1.0704594364934124e-11
2.790890231179921e-9  1.0481892288258842e-11
2.7908912650968536e-9  1.049365134837449e-11
2.790892299013786e-9  1.1342343241154383e-11
2.7908933329307186e-9  1.2074203961661993e-11
2.7908943668476516e-9  1.2033889996479278e-11
2.790895400764584e-9  1.1956620686800752e-11
2.790896434681517e-9  1.1650500444052327e-11
2.79089746859845e-9  1.054814069489448e-11
2.790898502515382e-9  9.732853627073025e-12
2.790899536432315e-9  9.490843909710286e-12
2.7909005703492475e-9  9.048703772956466e-12
2.79090160426618e-9  9.026045957309773e-12
2.790902638183113e-9  9.70955206089217e-12
2.790903672100045e-9  1.0280314576888775e-11
2.790904706016978e-9  1.0361075031209005e-11
2.7909057399339106e-9  1.0273470571544372e-11
2.790906773850843e-9  9.871640759385976e-12
2.790907807767776e-9  9.657406532157521e-12
2.790908841684708e-9  1.0146785969686633e-11
2.790909875601641e-9  1.0090741106948234e-11
2.7909109095185736e-9  9.851404049207496e-12
2.7909119434355065e-9  1.0523706940586772e-11
2.7909129773524395e-9  1.1397637464284746e-11
2.7909140112693716e-9  1.1860388810137555e-11
2.7909150451863045e-9  1.1959508809798117e-11
2.7909160791032366e-9  1.111521956217928e-11
2.7909171130201695e-9  1.1352021160427329e-11
2.7909181469371025e-9  1.1892313948734837e-11
2.7909191808540346e-9  1.1224776306885492e-11
2.7909202147709675e-9  9.933031361554981e-12
2.7909212486878996e-9  9.267297975244798e-12
2.7909222826048325e-9  8.371466433513155e-12
2.7909233165217655e-9  8.70541179887014e-12
2.7909243504386976e-9  9.662329607701015e-12
2.7909253843556305e-9  9.7937632304143e-12
2.7909264182725635e-9  8.92267451125323e-12
2.790927452189496e-9  9.219729746364367e-12
2.790928486106429e-9  9.49595520073124e-12
2.790929520023361e-9  9.341134355410373e-12
2.790930553940294e-9  9.1396423823834e-12
2.7909315878572265e-9  9.020392686606176e-12
2.790932621774159e-9  9.784058893745572e-12
2.7909336556910915e-9  1.0527699260938672e-11
2.790934689608024e-9  1.0902496557837957e-11
2.790935723524957e-9  1.1171365459664418e-11
2.7909367574418895e-9  1.0654717437246388e-11
2.790937791358822e-9  1.0749966895817597e-11
2.7909388252757545e-9  1.1505108797547792e-11
2.790939859192687e-9  1.1181948921078736e-11
2.79094089310962e-9  1.0578248612625323e-11
2.790941927026553e-9  1.0200684192765852e-11
2.7909429609434855e-9  9.4827939165818e-12
2.790943994860418e-9  9.494086665157477e-12
2.7909450287773505e-9  9.23491934138239e-12
2.7909460626942835e-9  8.673833007755549e-12
2.790947096611216e-9  9.349959555331788e-12
2.7909481305281485e-9  9.860741034604091e-12
2.790949164445081e-9  1.0374071116798826e-11
2.7909501983620135e-9  1.0784102844192356e-11
2.790951232278946e-9  1.0557059490602116e-11
2.790952266195879e-9  1.0543295763889365e-11
2.7909533001128115e-9  1.1583658241918372e-11
2.790954334029744e-9  1.3762163939660834e-11
2.7909553679466765e-9  1.4520758092461926e-11
2.7909564018636095e-9  1.3352281788188619e-11
2.7909574357805425e-9  1.2300774011361104e-11
2.790958469697475e-9  1.1881339714385863e-11
2.7909595036144075e-9  1.1312022008767019e-11
2.7909605375313404e-9  1.0778995900536883e-11
2.7909615714482725e-9  1.004382526663707e-11
2.7909626053652055e-9  1.0399577304638266e-11
2.790963639282138e-9  1.0639738014746384e-11
2.7909646731990705e-9  1.006833356897674e-11
2.7909657071160034e-9  9.92694673455836e-12
2.7909667410329355e-9  1.0461751314785267e-11
2.7909677749498685e-9  1.134702088568165e-11
2.790968808866801e-9  1.2331200147310244e-11
2.7909698427837335e-9  1.1917167107630579e-11
2.7909708767006665e-9  1.1561543626040487e-11
2.790971910617599e-9  1.2150936344132453e-11
2.790972944534532e-9  1.1577258569824884e-11
2.790973978451464e-9  1.080789451141944e-11
2.790975012368397e-9  1.121471705076763e-11
2.79097604628533e-9  1.09514867709795e-11
2.790977080202262e-9  1.1712899195592626e-11
2.790978114119195e-9  1.2015763800365888e-11
2.790979148036127e-9  1.246871971736844e-11
2.79098018195306e-9  1.1651197227429932e-11
2.790981215869993e-9  1.101437439985895e-11
2.790982249786925e-9  1.1176240243773472e-11
2.790983283703858e-9  1.2596141176754602e-11
2.790984317620791e-9  1.3026704978806258e-11
2.790985351537723e-9  1.3124084650616978e-11
2.790986385454656e-9  1.1866533406891423e-11
2.7909874193715885e-9  1.0320075422534936e-11
2.7909884532885214e-9  1.012349985350511e-11
2.790989487205454e-9  1.0871477330731422e-11
2.7909905211223864e-9  1.1635772098868632e-11
2.790991555039319e-9  1.1653164591403837e-11
2.7909925889562515e-9  1.1112760097908868e-11
2.7909936228731844e-9  1.0777206280348913e-11
2.790994656790117e-9  1.0078104247359829e-11
2.7909956907070494e-9  9.561920445589774e-12
2.790996724623982e-9  1.0859238536113904e-11
2.7909977585409145e-9  1.3443948434249049e-11
2.7909987924578474e-9  1.2167021917337284e-11
2.7909998263747804e-9  1.0837647639888262e-11
2.7910008602917125e-9  1.0674639849627465e-11
2.7910018942086454e-9  1.1038342488781677e-11
2.791002928125578e-9  1.112711288064675e-11
2.791003962042511e-9  1.0630452386769242e-11
2.7910049959594434e-9  1.0649482581576933e-11
2.791006029876376e-9  1.1150380726644656e-11
2.7910070637933084e-9  1.1587746860071493e-11
2.7910080977102414e-9  1.2171906866413235e-11
2.791009131627174e-9  1.3332497557631415e-11
2.7910101655441064e-9  1.3584302468397652e-11
2.791011199461039e-9  1.2596553066059107e-11
2.7910122333779714e-9  1.19198017539676e-11
2.7910132672949044e-9  1.131773750377278e-11
2.791014301211837e-9  1.0930059404844353e-11
2.79101533512877e-9  1.0024467366995873e-11
2.791016369045702e-9  1.0088708072549554e-11
2.791017402962635e-9  1.014349617970837e-11
2.791018436879568e-9  1.1032080864498035e-11
2.7910194707965e-9  1.167614882286266e-11
2.791020504713433e-9  1.1936479760953278e-11
2.7910215386303654e-9  1.0588803002803387e-11
2.791022572547298e-9  9.347846890394832e-12
2.791023606464231e-9  9.691350566290453e-12
2.791024640381163e-9  1.111098035906786e-11
2.791025674298096e-9  1.174716237720091e-11
2.7910267082150284e-9  1.1540125921827036e-11
2.791027742131961e-9  1.1126196774315202e-11
2.791028776048894e-9  9.608523958643411e-12
2.7910298099658264e-9  8.900151532458362e-12
2.7910308438827593e-9  9.149002842719053e-12
2.7910318777996914e-9  9.603054680764884e-12
2.7910329117166244e-9  9.936452411322483e-12
2.7910339456335573e-9  1.0242859899195754e-11
2.7910349795504894e-9  9.720075283853504e-12
2.7910360134674224e-9  9.473435196668283e-12
2.7910370473843544e-9  9.244001007645089e-12
2.7910380813012874e-9  9.911909558046713e-12
2.7910391152182203e-9  1.034141997540545e-11
2.7910401491351524e-9  1.032847439514987e-11
2.7910411830520854e-9  1.0019291228898583e-11
2.7910422169690174e-9  8.80343499303572e-12
2.7910432508859504e-9  8.541887583519993e-12
2.7910442848028834e-9  8.893002893341898e-12
2.791045318719816e-9  8.850913327734913e-12
2.791046352636749e-9  8.523816264528773e-12
2.7910473865536813e-9  8.415170272307522e-12
2.791048420470614e-9  8.347655045557535e-12
2.791049454387547e-9  8.43025855119092e-12
2.791050488304479e-9  8.374685436268973e-12
2.791051522221412e-9  8.324468405001875e-12
2.7910525561383444e-9  8.781864728291745e-12
2.791053590055277e-9  9.076334818641706e-12
2.7910546239722094e-9  9.510286335135303e-12
2.791055657889142e-9  9.743178655327453e-12
2.791056691806075e-9  9.298682722048103e-12
2.7910577257230074e-9  8.575405568323041e-12
2.79105875963994e-9  8.060187585952018e-12
2.791059793556873e-9  7.402768306221478e-12
2.791060827473806e-9  7.532407070069788e-12
2.7910618613907383e-9  8.231462063444524e-12
2.791062895307671e-9  8.088070039541545e-12
2.7910639292246033e-9  7.264839520041028e-12
2.791064963141536e-9  7.258632473270162e-12
2.791065997058469e-9  7.825493590036398e-12
2.7910670309754013e-9  8.166016490165469e-12
2.791068064892334e-9  7.397949727808672e-12
2.7910690988092663e-9  6.602699420764398e-12
2.791070132726199e-9  6.275500415352476e-12
2.791071166643132e-9  6.300270163942937e-12
2.7910722005600643e-9  6.54411029725273e-12
2.791073234476997e-9  6.418255221924816e-12
2.7910742683939294e-9  6.2323101324484026e-12
2.7910753023108623e-9  6.163276547068064e-12
2.7910763362277953e-9  6.233269911614492e-12
2.7910773701447273e-9  6.228981976787108e-12
2.7910784040616603e-9  6.799708818734817e-12
2.791079437978593e-9  7.2491221326104224e-12
2.7910804718955253e-9  7.13595830165016e-12
2.7910815058124583e-9  7.412254879294982e-12
2.7910825397293904e-9  7.39318425219105e-12
2.7910835736463233e-9  6.9196836360025235e-12
2.791084607563256e-9  6.8492146028410874e-12
2.7910856414801883e-9  6.916215228278791e-12
2.7910866753971213e-9  7.1545271199035134e-12
2.7910877093140534e-9  7.232365762748394e-12
2.7910887432309863e-9  7.098566554608065e-12
2.791089777147919e-9  7.322342866107999e-12
2.791090811064852e-9  7.494892637696871e-12
2.7910918449817848e-9  7.1460057785267966e-12
2.791092878898717e-9  6.961994872207791e-12
2.79109391281565e-9  7.0938799625260215e-12
2.791094946732582e-9  6.679884351420502e-12
2.791095980649515e-9  6.726049601993684e-12
2.7910970145664478e-9  7.639282786896327e-12
2.79109804848338e-9  8.782230639070627e-12
2.791099082400313e-9  9.95469789278111e-12
2.791100116317245e-9  1.0490041526931001e-11
2.791101150234178e-9  8.902396232352152e-12
2.7911021841511108e-9  7.969873159552581e-12
2.791103218068043e-9  8.044797768355838e-12
2.791104251984976e-9  8.645972897132112e-12
2.7911052859019088e-9  9.307312631496221e-12
2.7911063198188413e-9  8.984452450108176e-12
2.7911073537357742e-9  8.618550525324589e-12
2.7911083876527063e-9  8.984797801365859e-12
2.7911094215696393e-9  9.417083847467355e-12
2.7911104554865718e-9  9.507601395510543e-12
2.7911114894035043e-9  8.575394837724758e-12
2.7911125233204372e-9  8.197030699574567e-12
2.7911135572373693e-9  9.052853924065771e-12
2.7911145911543023e-9  1.0710552364074438e-11
2.791115625071235e-9  1.1433392002969221e-11
2.7911166589881673e-9  1.1717108040415037e-11
2.7911176929051003e-9  1.2500994821017326e-11
2.7911187268220323e-9  1.2995024715425468e-11
2.7911197607389653e-9  1.2601981698081896e-11
2.7911207946558982e-9  1.2286671292804212e-11
2.7911218285728308e-9  1.2194896916873648e-11
2.7911228624897633e-9  1.2150836117564233e-11
2.7911238964066962e-9  1.2665507871015481e-11
2.7911249303236287e-9  1.188271688707834e-11
2.7911259642405613e-9  1.044112158519374e-11
2.7911269981574938e-9  9.443570269150476e-12
2.7911280320744263e-9  9.98987167688865e-12
2.7911290659913592e-9  1.0790474798401897e-11
2.7911300999082918e-9  1.1038360456375277e-11
2.7911311338252243e-9  9.633374850288586e-12
2.7911321677421568e-9  9.028153293812969e-12
2.7911332016590897e-9  9.400384721424447e-12
2.7911342355760222e-9  9.819753739986314e-12
2.7911352694929548e-9  9.700800425427733e-12
2.7911363034098877e-9  9.906647598350682e-12
2.7911373373268202e-9  1.0101014182293897e-11
2.7911383712437527e-9  1.0155757141549596e-11
2.7911394051606857e-9  1.0367616741037415e-11
2.7911404390776178e-9  1.0247176534161175e-11
2.7911414729945507e-9  9.219297369924637e-12
2.7911425069114832e-9  8.913393792797402e-12
2.7911435408284158e-9  8.978480400888955e-12
2.7911445747453487e-9  9.459669894015129e-12
2.791145608662281e-9  9.073854285395397e-12
2.7911466425792137e-9  9.19581653010516e-12
2.7911476764961463e-9  1.0285017639358382e-11
2.791148710413079e-9  1.0428218794000183e-11
2.7911497443300117e-9  9.159483217831708e-12
2.7911507782469442e-9  8.812539056793572e-12
2.791151812163877e-9  8.92557300504717e-12
2.79115284608081e-9  8.332157297470625e-12
2.7911538799977422e-9  8.42797149628089e-12
2.791154913914675e-9  8.60868622029509e-12
2.7911559478316073e-9  8.364334004212807e-12
2.79115698174854e-9  8.697998900703845e-12
2.7911580156654727e-9  9.252985201113971e-12
2.7911590495824052e-9  9.411096223239477e-12
2.791160083499338e-9  9.536547147921037e-12
2.7911611174162703e-9  9.30429786721043e-12
2.7911621513332032e-9  9.036272359439165e-12
2.791163185250136e-9  8.06633860519823e-12
2.7911642191670687e-9  7.284225628301877e-12
2.791165253084001e-9  7.750522089251667e-12
2.7911662870009337e-9  8.098828804211773e-12
2.7911673209178667e-9  8.033127080614674e-12
2.791168354834799e-9  8.045871547120144e-12
2.7911693887517317e-9  8.284855183045756e-12
2.7911704226686647e-9  8.411682306021267e-12
2.7911714565855967e-9  8.586391324479774e-12
2.7911724905025297e-9  9.148821714058646e-12
2.791173524419462e-9  1.0212800396937248e-11
2.7911745583363947e-9  1.0310864423750652e-11
2.7911755922533272e-9  1.0614046928919124e-11
2.7911766261702597e-9  9.806469054189302e-12
2.7911776600871927e-9  9.627837378258849e-12
2.7911786940041257e-9  9.552951215164096e-12
2.791179727921058e-9  8.90567205745249e-12
2.7911807618379907e-9  8.137165043006966e-12
2.7911817957549236e-9  8.291973145316936e-12
2.791182829671856e-9  8.250465906721288e-12
2.7911838635887887e-9  8.890709789815061e-12
2.791184897505721e-9  9.457476718232854e-12
2.7911859314226537e-9  8.659625676713922e-12
2.7911869653395867e-9  8.247506044794252e-12
2.791187999256519e-9  8.451103130503097e-12
2.7911890331734517e-9  8.816934225296591e-12
2.791190067090384e-9  9.215169650478527e-12
2.7911911010073167e-9  9.185954406493258e-12
2.7911921349242497e-9  8.465293095321485e-12
2.791193168841182e-9  8.374654528981872e-12
