2.67E-09 6.37E-11
2.53E-09 5.77E-11
2.36E-09 5.29E-11
2.24E-09 4.95E-11
2.15E-09 4.70E-11
2.07E-09 4.37E-11
1.97E-09 4.15E-11
1.86E-09 3.93E-11
1.72E-09 3.65E-11
1.60E-09 3.50E-11
1.51E-09 3.38E-11
1.41E-09 3.28E-11
1.31E-09 3.22E-11
1.16E-09 3.24E-11
1.06E-09 3.33E-11
9.60E-10 3.51E-11
8.82E-10 3.65E-11
7.65E-10 3.79E-11
6.54E-10 3.81E-11
5.65E-10 3.80E-11
5.08E-10 3.70E-11
4.69E-10 3.54E-11
4.50E-10 3.39E-11
4.33E-10 3.24E-11
4.07E-10 2.83E-11
3.98E-10 2.66E-11
3.87E-10 2.58E-11
3.58E-10 2.40E-11
3.47E-10 2.31E-11
3.29E-10 2.11E-11
3.20E-10 1.96E-11
3.13E-10 1.67E-11
3.08E-10 1.49E-11
3.04E-10 1.35E-11
3.00E-10 1.19E-11
2.99E-10 9.96E-12
3.05E-10 8.81E-12
3.09E-10 8.19E-12
3.21E-10 7.44E-12
3.36E-10 6.76E-12
3.49E-10 6.24E-12
3.71E-10 5.80E-12
3.95E-10 5.45E-12
4.22E-10 5.20E-12
4.39E-10 5.06E-12
4.73E-10 4.79E-12
5.15E-10 4.66E-12
5.41E-10 4.55E-12
6.12E-10 4.55E-12
7.21E-10 4.57E-12
8.08E-10 4.61E-12
9.24E-10 4.68E-12
1.14E-09 4.71E-12
1.37E-09 4.74E-12
1.54E-09 4.77E-12
1.71E-09 4.82E-12
1.83E-09 4.95E-12
1.97E-09 5.08E-12
2.09E-09 5.23E-12
2.20E-09 5.37E-12
2.29E-09 5.48E-12
2.54E-09 5.48E-12
2.73E-09 5.54E-12
2.93E-09 5.45E-12
3.15E-09 5.39E-12
3.50E-09 5.27E-12
3.74E-09 5.23E-12
4.32E-09 5.29E-12
4.84E-09 5.50E-12
5.19E-09 5.80E-12
5.46E-09 6.16E-12
5.84E-09 6.64E-12
6.17E-09 7.22E-12
6.49E-09 7.76E-12
6.86E-09 8.24E-12
7.24E-09 8.78E-12
7.75E-09 9.29E-12
8.32E-09 9.60E-12
9.02E-09 9.96E-12
1.02E-08 1.05E-11
1.13E-08 1.09E-11
1.23E-08 1.15E-11
1.30E-08 1.22E-11
1.36E-08 1.36E-11
1.43E-08 1.52E-11
1.49E-08 1.70E-11
1.57E-08 1.85E-11
1.63E-08 2.02E-11
1.70E-08 2.20E-11
1.83E-08 2.44E-11
1.99E-08 2.67E-11
2.12E-08 2.90E-11
2.21E-08 3.08E-11
2.34E-08 3.28E-11
2.43E-08 3.51E-11
2.52E-08 3.77E-11
2.63E-08 4.05E-11
2.75E-08 4.38E-11
2.85E-08 4.68E-11
2.94E-08 4.92E-11
3.01E-08 5.15E-11
3.11E-08 5.60E-11
3.26E-08 5.86E-11
3.37E-08 6.25E-11
3.37E-08 6.39E-11
3.77E-09 6.39E-11
3.77E-09 4.70E-11
3.93E-09 4.68E-11
4.02E-09 4.65E-11
4.09E-09 4.59E-11
4.24E-09 4.47E-11
4.37E-09 4.37E-11
4.48E-09 4.24E-11
4.56E-09 3.99E-11
4.62E-09 3.84E-11
4.68E-09 3.52E-11
4.68E-09 3.14E-11
4.64E-09 2.93E-11
4.62E-09 2.80E-11
4.52E-09 2.68E-11
4.44E-09 2.54E-11
4.35E-09 2.41E-11
4.28E-09 2.27E-11
4.16E-09 2.08E-11
3.98E-09 1.96E-11
3.85E-09 1.90E-11
3.71E-09 1.84E-11
3.56E-09 1.78E-11
3.39E-09 1.72E-11
3.20E-09 1.66E-11
3.02E-09 1.62E-11
2.83E-09 1.57E-11
2.70E-09 1.54E-11
2.43E-09 1.52E-11
2.32E-09 1.52E-11
2.26E-09 1.57E-11
2.21E-09 1.65E-11
2.21E-09 1.72E-11
2.23E-09 1.79E-11
2.24E-09 1.88E-11
2.28E-09 1.94E-11
2.28E-09 2.04E-11
2.33E-09 2.11E-11
2.39E-09 2.16E-11
2.45E-09 2.23E-11
2.49E-09 2.27E-11
2.55E-09 2.33E-11
2.61E-09 2.39E-11
2.69E-09 2.44E-11
2.79E-09 2.49E-11
2.92E-09 2.64E-11
3.00E-09 2.74E-11
3.06E-09 2.87E-11
3.09E-09 2.99E-11
3.13E-09 3.16E-11
3.16E-09 3.25E-11
3.16E-09 3.44E-11
3.19E-09 3.64E-11
3.19E-09 3.77E-11
3.23E-09 3.95E-11
3.24E-09 4.15E-11
3.31E-09 4.32E-11
3.44E-09 4.50E-11
3.53E-09 4.60E-11
3.77E-09 4.70E-11
3.77E-09 6.39E-11




