# LUX-ZEPLIN (LZ) 2025
# https://lz.lbl.gov/wp-content/uploads/sites/6/2025/12/LZ_Paper_Preprint_WS2025_v6.0_20251208.pdf
# m [GeV/c^2]  sigma [cm^2]
3.0041; 2.8025e-42
3.1347; 1.6436e-42
3.2571; 1.0186e-42
3.3878; 5.6526e-43
3.4857; 3.7020e-43
3.6653; 2.0926e-43
3.8041; 1.3455e-43
4.0000; 6.8103e-44
4.2531; 3.5764e-44
4.4898; 1.9130e-44
4.6449; 1.2998e-44
4.8082; 9.1630e-45
5.0857; 4.9923e-45
5.2980; 3.5193e-45
5.5306; 2.3476e-45
5.7714; 1.6248e-45
5.9592; 1.2104e-45
6.2694; 8.5324e-46
6.5551; 6.1265e-46
6.8898; 4.6487e-46
7.2000; 3.5929e-46
7.4531; 2.9345e-46
7.8122; 2.3530e-46
8.1224; 1.8868e-46
8.4245; 1.5988e-46
8.7429; 1.3301e-46
8.9959; 1.1480e-46
9.0110; 1.1361e-46
