# PandaX-4T 2025
# https://doi.org/10.1103/PhysRevLett.134.011805
# m [GeV/c^2]  sigma [cm^2]
4.9832; 9.4912e-44
5.2281; 6.3934e-44
5.7393; 2.8708e-44
6.2821; 1.5078e-44
6.9441; 8.0852e-45
7.9215; 3.2985e-45
8.7182; 1.6941e-45
9.4698; 9.9072e-46
10.535; 5.4348e-46
11.742; 3.0971e-46
12.902; 1.8663e-46
14.311; 1.1096e-46
16.242; 6.7743e-47
19.902; 3.5252e-47
25.183; 2.4438e-47
30.366; 1.8658e-47
40.235; 1.5629e-47
60.036; 1.6929e-47
81.527; 2.1984e-47
109.36; 2.7766e-47
146.69; 3.3801e-47
196.76; 4.2088e-47
263.93; 5.3930e-47
354.03; 7.4162e-47
474.89; 1.0053e-46
637.00; 1.3445e-46
854.46; 1.7976e-46
1146.1; 2.4040e-46
1537.4; 3.2144e-46
2062.2; 4.2988e-46
2766.2; 5.7474e-46
3710.5; 7.6864e-46
4977.2; 1.0276e-45
6676.2; 1.3743e-45
8776.6; 1.8010e-45
10082; 2.0629e-45
