# XENONnT
# https://doi.org/10.1088/1742-6596/3162/1/012008
# m [GeV/c^2]  sigma [cm^2]
6.0231; 2.8283e-44
6.2830; 1.7888e-44
6.5888; 1.2355e-44
6.8732; 8.5334e-45
7.2077; 5.4928e-45
7.5986; 3.7276e-45
7.9265; 2.6670e-45
8.4006; 1.6867e-45
8.9031; 1.0667e-45
9.4856; 7.4989e-46
10.000; 5.0890e-46
10.882; 3.3340e-46
11.841; 2.1842e-46
12.683; 1.5905e-46
13.656; 1.1997e-46
14.473; 9.3743e-47
15.420; 7.5876e-47
16.342; 6.3617e-47
17.503; 5.4287e-47
18.648; 4.4721e-47
19.974; 4.0234e-47
21.393; 3.4944e-47
23.279; 3.0888e-47
25.873; 2.7064e-47
28.006; 2.5898e-47
31.623; 2.6827e-47
37.052; 2.8283e-47
44.339; 3.0888e-47
52.226; 3.5565e-47
63.162; 4.1677e-47
77.200; 4.7987e-47
88.562; 5.4287e-47
102.13; 6.0341e-47
117.17; 7.1969e-47
133.70; 7.9995e-47
150.97; 8.8916e-47
168.68; 9.7106e-47
191.47; 1.1379e-46
226.73; 1.3335e-46
261.48; 1.5354e-46
298.38; 1.7066e-46
333.38; 1.8970e-46
374.45; 2.1085e-46
411.79; 2.3437e-46
460.09; 2.6514e-46
