# PandaX-4T 2025
# https://arxiv.org/abs/2507.11930
# m [GeV/c^2]  sigma [cm^2]
1.9981; 7.9135e-42
2.0492; 5.9166e-42
2.1312; 3.6569e-42
2.2196; 2.2464e-42
2.3129; 1.3908e-42
2.4189; 8.4660e-43
2.5286; 5.1825e-43
2.6421; 3.3003e-43
2.7682; 2.1110e-43
2.8968; 1.4129e-43
3.0254; 9.8465e-44
3.1540; 7.1598e-44
3.2825; 5.4096e-44
3.4111; 4.2360e-44
3.5396; 3.4238e-44
3.6681; 2.8418e-44
3.7967; 2.4077e-44
3.9252; 2.0784e-44
4.0537; 1.8225e-44
4.1822; 1.6144e-44
4.3107; 1.4456e-44
4.4392; 1.3047e-44
4.5677; 1.1859e-44
4.6962; 1.0825e-44
4.8247; 9.8979e-45
4.9532; 8.7417e-45
5.0747; 8.3779e-45
5.2101; 7.7049e-45
5.3386; 6.9808e-45
5.4671; 6.2927e-45
5.5956; 5.8193e-45
5.7241; 5.3241e-45
5.8526; 4.8733e-45
5.9521; 4.5492e-45
5.9960; 4.4276e-45
