# DEAP-3600 2026
# arXiv:2603.13965
# m [GeV/c^2]  sigma [cm^2]
20.068; 5.3041e-43
20.635; 3.6711e-43
21.135; 2.2367e-43
21.918; 1.3742e-43
22.777; 7.9148e-44
23.750; 4.8979e-44
24.831; 3.0368e-44
26.314; 1.8164e-44
28.184; 1.0460e-44
31.178; 6.2694e-45
34.080; 4.8478e-45
38.459; 4.1792e-45
44.436; 3.5970e-45
52.481; 3.2781e-45
64.699; 3.1523e-45
78.524; 3.1908e-45
97.512; 3.4010e-45
116.82; 3.7013e-45
142.80; 4.1484e-45
172.78; 4.7829e-45
213.98; 5.4564e-45
263.03; 6.5231e-45
316.98; 7.5163e-45
386.81; 9.1398e-45
469.57; 1.0630e-44
568.85; 1.2635e-44
695.59; 1.5295e-44
856.05; 1.8685e-44
1030.4; 2.2231e-44
1237.4; 2.6180e-44
1526.4; 3.2500e-44
1840.8; 3.9242e-44
2261.2; 4.7775e-44
2707.1; 5.6488e-44
3349.6; 7.0540e-44
4168.7; 8.8168e-44
4962.0; 1.0419e-43
5956.6; 1.2354e-43
7350.5; 1.5419e-43
9405.8; 1.9708e-43
