0	1 
0.228	3.74984E-12	   
0.229	3.77259E-12	   
0.23	3.78982E-12	   
0.231	3.81103E-12	   
0.232	3.82733E-12	   
0.233	3.84915E-12	   
0.234	3.86134E-12	   
0.235	3.8818E-12	   
0.236	3.8992E-12	   
0.237	3.91869E-12	   
0.238	3.93522E-12	   
0.239	3.95419E-12	   
0.24	3.98029E-12	   
0.241	3.99717E-12	   
0.242	4.01383E-12	   
0.243	4.03278E-12	   
0.244	4.05566E-12	   
0.245	4.07197E-12	   
0.246	4.09012E-12	   
0.247	4.11507E-12	   
0.248	4.14547E-12	   
0.249	4.21713E-12	   
0.25	6.47656E-12	   
0.251	7.40058E-12	   
0.252	7.53737E-12	   
0.253	7.63297E-12	   
0.254	7.74523E-12	   
0.255	7.84742E-12	   
0.256	7.84896E-12	   
0.257	7.83041E-12	   
0.258	7.97971E-12	   
0.259	8.07053E-12	   
0.26	8.13772E-12	   
0.261	8.13979E-12	   
0.262	8.23948E-12	   
0.263	8.20935E-12	   
0.264	8.21943E-12	   
0.265	8.26665E-12	   
0.266	8.29943E-12	   
0.267	8.31438E-12	   
0.268	8.2541E-12	   
0.269	8.49203E-12	   
0.27	8.62629E-12	   
0.271	8.53848E-12	   
0.272	8.50356E-12	   
0.273	8.51987E-12	   
0.274	8.64941E-12	   
0.275	8.61349E-12	   
0.276	8.64134E-12	   
0.277	8.6672E-12	   
0.278	8.73114E-12	   
0.279	8.69113E-12	   
0.28	8.93177E-12	   
0.281	8.95001E-12	   
0.282	8.84907E-12	   
0.283	8.92549E-12	   
0.284	8.86462E-12	   
0.285	9.05468E-12	   
0.286	8.86836E-12	   
0.287	8.97742E-12	   
0.288	9.08812E-12	   
0.289	9.20543E-12	   
0.29	9.24623E-12	   
0.291	9.27811E-12	   
0.292	9.25047E-12	   
0.293	9.12658E-12	   
0.294	9.2349E-12	   
0.295	9.22827E-12	   
0.296	9.42568E-12	   
0.297	9.22305E-12	   
0.298	9.39078E-12	   
0.299	9.62104E-12	   
0.3	9.73205E-12	   
0.4	1.28979E-11	   
0.5	1.5955E-11	   
0.6	1.90708E-11	   
0.7	2.2248E-11	   
0.8	2.58843E-11	   
0.9	2.86735E-11	   
1	3.16906E-11	   
2	6.31821E-11	   
3	9.60484E-11	   
4	1.27704E-10	   
5	1.61379E-10	   
6	1.8867E-10	   
7	2.21179E-10	   
8	2.5393E-10	   
9	2.86118E-10	 
9	1
