0.0000001	1 
0.229	1.48414E-11	   
0.23	1.49336E-11	   
0.231	1.47754E-11	   
0.232	1.48633E-11	   
0.233	1.52576E-11	   
0.234	1.50747E-11	   
0.235	1.5271E-11	   
0.236	1.54631E-11	   
0.237	1.51077E-11	   
0.238	1.53966E-11	   
0.239	1.49923E-11	   
0.24	1.53259E-11	   
0.241	1.60783E-11	   
0.242	1.64268E-11	   
0.243	1.66881E-11	   
0.244	1.61467E-11	   
0.245	1.58856E-11	   
0.246	1.62087E-11	   
0.247	1.59799E-11	   
0.248	1.6025E-11	   
0.249	1.60984E-11	   
0.25	1.5993E-11	   
0.251	1.64683E-11	   
0.252	1.65557E-11	   
0.253	1.65082E-11	   
0.254	1.68673E-11	   
0.255	1.65675E-11	   
0.256	1.70156E-11	   
0.257	1.73195E-11	   
0.258	1.65201E-11	   
0.259	1.69865E-11	   
0.26	1.70265E-11	   
0.261	1.74376E-11	   
0.262	1.74768E-11	   
0.263	1.67847E-11	   
0.264	1.71755E-11	   
0.265	1.71649E-11	   
0.266	1.75776E-11	   
0.267	1.80377E-11	   
0.268	1.71755E-11	   
0.269	1.78541E-11	   
0.27	1.77591E-11	   
0.271	1.76517E-11	   
0.272	1.83812E-11	   
0.273	1.75545E-11	   
0.274	1.78247E-11	   
0.275	1.79177E-11	   
0.276	1.78079E-11	   
0.277	1.86534E-11	   
0.278	1.80872E-11	   
0.279	1.8546E-11	   
0.28	1.80336E-11	   
0.281	1.80377E-11	   
0.282	1.88192E-11	   
0.283	1.83677E-11	   
0.284	1.79228E-11	   
0.285	1.85674E-11	   
0.286	1.86562E-11	   
0.287	2.01175E-11	   
0.288	1.94754E-11	   
0.289	1.84299E-11	   
0.29	1.81204E-11	   
0.291	1.84726E-11	   
0.292	1.97673E-11	   
0.293	2.01087E-11	   
0.294	1.96246E-11	   
0.295	1.96913E-11	   
0.296	1.87906E-11	   
0.297	1.9258E-11	   
0.298	2.00565E-11	   
0.299	1.99597E-11	   
0.3	2.05417E-11	   
0.4	2.65088E-11	   
0.5	3.30956E-11	   
0.6	3.93497E-11	   
0.7	4.4383E-11	   
0.8	5.14354E-11	   
0.9	5.83634E-11	   
1	6.50519E-11	   
1.1	7.35593E-11	   
2.1	1.43526E-10	   
3.1	2.05835E-10	   
4.1	2.65001E-10	   
5.1	3.40207E-10	   
6.1	4.13684E-10	   
7.1	4.74136E-10	   
8.1	5.52416E-10	   
9.1	6.0457E-10	 
9.1	1
