# QUAX
# https://arxiv.org/abs/2506.11589
# file extracted from the reference using https://apps.automeris.io/wpd/
# mass [eV]; photon coupling [GeV-1]
4.206766e-5; 5.129469e-14
4.206766e-5; 6.792010e-14
4.206848e-5; 9.053723e-14
4.206904e-5; 1.167189e-13
4.206923e-5; 1.384100e-13
4.206957e-5; 1.002196e-13
4.206973e-5; 8.903683e-14
4.207034e-5; 6.226720e-14
4.207113e-5; 4.005544e-14
4.207166e-5; 4.905064e-14
4.207230e-5; 4.239718e-14
4.207293e-5; 3.721590e-14
4.207305e-5; 4.829981e-14
4.207343e-5; 5.666135e-14
4.207377e-5; 8.346444e-14
4.207406e-5; 1
4.207493e-5; 1
4.207521e-5; 8.385658e-14
4.207550e-5; 4.829981e-14
4.207600e-5; 4.012243e-14
4.207600e-5; 3.366538e-14
4.207662e-5; 2.955120e-14
4.207681e-5; 2.362244e-14
4.207700e-5; 1.808027e-14
4.207759e-5; 2.856077e-14
4.207800e-5; 3.400463e-14
4.207819e-5; 4.593809e-14
4.207860e-5; 6.326490e-14
4.207879e-5; 1
4.210376e-5; 1
4.210401e-5; 1.190831e-13
4.210420e-5; 1.099042e-13
4.210445e-5; 9.647297e-14
4.210495e-5; 8.013966e-14
4.210495e-5; 6.792010e-14
4.210571e-5; 4.710415e-14
4.210617e-5; 5.926212e-14
4.210644e-5; 7.458307e-14
4.210696e-5; 8.726914e-14
4.210765e-5; 1.257884e-13
4.210787e-5; 1
4.216914e-5; 1
4.216932e-5; 1.167696e-13
4.216973e-5; 9.862387e-14
4.217027e-5; 7.359262e-14
4.217037e-5; 8.355861e-14
4.217083e-5; 5.393180e-14
4.217083e-5; 4.927815e-14
4.217127e-5; 5.502422e-14
4.217146e-5; 6.331649e-14
4.217146e-5; 4.829981e-14
4.217158e-5; 7.973890e-14
4.217171e-5; 9.175573e-14
4.217202e-5; 7.359262e-14
4.217246e-5; 5.716115e-14
4.217316e-5; 4.475600e-14
4.217373e-5; 2.429522e-14
4.217411e-5; 3.504302e-14
4.217434e-5; 2.216509e-14
4.217543e-5; 4.089411e-14
4.217559e-5; 4.640101e-14
4.217647e-5; 4.114087e-14
4.217672e-5; 3.647704e-14
4.217681e-5; 4.432219e-14
4.217752e-5; 5.275517e-14
4.217835e-5; 6.289467e-14
4.217848e-5; 5.670448e-14
4.217898e-5; 5.027631e-14
4.217939e-5; 4.616897e-14
4.217979e-5; 5.613877e-14
4.218011e-5; 6.144030e-14
4.218063e-5; 7.013466e-14
4.218123e-5; 7.973890e-14
4.218186e-5; 4.457686e-14
4.218201e-5; 5.129469e-14
4.218232e-5; 6.062439e-14
4.218323e-5; 7.054214e-14
4.218374e-5; 7.973890e-14
4.218444e-5; 5.233370e-14
4.218462e-5; 4.197421e-14
4.218539e-5; 6.395453e-14
4.218594e-5; 7.533465e-14
4.218656e-5; 5.233370e-14
4.218681e-5; 5.961971e-14
4.218700e-5; 4.640101e-14
4.218713e-5; 3.952351e-14
4.218750e-5; 5.393180e-14
4.218807e-5; 6.409719e-14
4.218938e-5; 4.059453e-14
4.218947e-5; 4.693578e-14
4.219032e-5; 3.575284e-14
4.219064e-5; 4.547979e-14
4.219066e-5; 4.130621e-14
4.219149e-5; 4.369185e-14
4.219183e-5; 3.854511e-14
4.219249e-5; 2.568102e-14
4.219285e-5; 3.169981e-14
4.219290e-5; 2.125586e-14
4.219321e-5; 4.282442e-14
4.219373e-5; 3.434730e-14
4.219390e-5; 4.000193e-14
4.219471e-5; 4.282442e-14
4.219477e-5; 4.878653e-14
4.219519e-5; 3.696796e-14
4.219603e-5; 4.000193e-14
4.219615e-5; 4.772215e-14
4.219715e-5; 5.339375e-14
4.219741e-5; 3.366538e-14
4.219782e-5; 4.197421e-14
4.219788e-5; 5.002489e-14
4.219952e-5; 5.689432e-14
4.220030e-5; 4.145142e-14
4.220079e-5; 5.339375e-14
4.220122e-5; 4.908091e-14
4.220302e-5; 4.155545e-14
4.220323e-5; 4.862375e-14
4.220405e-5; 3.434730e-14
4.220443e-5; 4.829981e-14
4.220460e-5; 4.081219e-14
4.220502e-5; 3.266782e-14
4.220530e-5; 2.646523e-14
4.220580e-5; 3.366538e-14
4.220595e-5; 4.183415e-14
4.220681e-5; 4.325596e-14
4.220681e-5; 3.873883e-14
4.220715e-5; 4.829981e-14
4.220794e-5; 4.517680e-14
4.220819e-5; 5.129469e-14
4.220837e-5; 4.239718e-14
4.220856e-5; 4.829981e-14
4.220875e-5; 5.843605e-14
4.220900e-5; 5.339375e-14
4.220919e-5; 6.022050e-14
4.220938e-5; 6.999416e-14
