# Cylindrical 8 cell cavity haloscope
# July 2025
# https://arxiv.org/pdf/2507.04344
# mass [eV]; photon coupling [GeV-1]
2.452536e-5; 1.204829e-14
2.452728e-5; 1.246690e-14
2.452876e-5; 1.419881e-14
2.453023e-5; 1.274748e-14
2.453221e-5; 1.216689e-14
2.453355e-5; 1.426397e-14
2.453405e-5; 1.327793e-14
2.453581e-5; 1.244230e-14
2.453639e-5; 1.411194e-14
2.453937e-5; 1.230799e-14
2.454333e-5; 1.231470e-14
2.454473e-5; 1.480694e-14
2.454585e-5; 1.329145e-14
2.454808e-5; 1.242058e-14
2.455017e-5; 1.339521e-14
2.455187e-5; 1.257261e-14
2.455366e-5; 1.359068e-14
2.455558e-5; 1.254818e-14
2.455789e-5; 1.368997e-14
2.455875e-5; 1.238684e-14
2.456017e-5; 1.252887e-14
2.456348e-5; 1.293670e-14
2.456437e-5; 1.397438e-14
2.456585e-5; 1.628383e-14
2.456585e-5; 1.532820e-14
2.456609e-5; 1.713811e-14
2.456621e-5; 1.932448e-14
2.456621e-5; 1.836884e-14
2.456679e-5; 2.992260e-14
2.456755e-5; 1
